0,2,0,2,0,0,2,0,0,0,0,3,,,,9
5_5,6_6,5_5,2_2,10_10,4_4,3_3,7_7,3_3,4_4,6_6,4_5,,,,59_60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,19
5_5,2_2,1_1,5_5,4_4,5_5,3_3,3_3,3_3,1_1,7_7,4_4,5_5,1_1,3_3,52_52
0,0,0,0,0,0,0,0,0,0,0,0,,,,0
0,0,0,0,0,0,0,0,0,0,0,1,,,,1
5_5,3_3,2_2,3_3,5_5,2_2,3_3,3_3,4_4,2_2,3_3,3_3,,,,38_38
0,0,0,0,0,1,0,0,0,0,0,0,,,,1
1,0,0,0,1,1,2,0,0,0,0,1,,,,6
1_1,3_3,1_1,4_4,2_2,2_2,4_4,1_1,2_2,4_4,4_4,3_3,,,,31_31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,2,1,0,0,1,1,1,0,0,1,8
7_7,2_2,1_1,2_2,0_0,1_1,3_3,6_6,0_0,6_6,2_2,1_1,3_3,4_4,1_2,39_40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4_4,4_4,3_3,6_6,2_2,5_5,3_3,4_4,4_4,5_5,2_2,5_5,1_1,1_1,4_4,53_53
0,0,0,0,0,0,0,0,0,0,0,1,,,,1
1,1,0,0,0,0,0,0,0,0,0,1,,,,3
2_2,7_7,1_1,4_4,4_4,2_2,6_6,5_5,2_2,4_4,3_3,8_8,,,,48_48
0,0,0,0,0,0,0,0,0,0,0,1,,,,1
0,0,0,1,0,0,0,1,1,0,0,0,,,,3
3_3,4_4,3_3,3_3,2_2,2_2,6_6,7_7,5_5,7_7,3_3,2_2,,,,47_47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6
4_4,5_5,3_3,7_7,2_2,3_3,1_1,2_2,0_0,2_2,3_3,5_5,5_5,3_3,9_9,54_54
0,0,0,0,0,0,0,0,0,0,0,1,,,,1
1,1,0,1,0,0,0,1,0,0,0,0,,,,4
9_9,4_4,3_3,1_1,3_3,1_1,1_1,6_6,2_2,1_1,5_5,3_3,,,,39_39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,7
3_3,0_0,2_2,6_6,10_10,1_1,6_6,2_2,4_4,11_11,3_3,5_5,7_7,1_1,0_0,61_61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_2,5_5,3_3,2_2,4_4,2_2,3_3,2_2,1_1,5_5,3_3,1_1,4_4,1_1,3_3,41_41
0,0,0,0,0,0,0,0,0,0,0,8,,,,8
1,0,0,0,0,0,0,0,0,0,0,1,,,,2
5_5,4_4,2_2,7_7,2_2,3_3,5_5,3_3,1_1,3_3,2_2,6_12,,,,43_49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
3_3,0_0,2_2,3_3,0_0,1_1,2_2,3_3,5_5,3_3,6_6,0_0,8_8,6_6,2_2,44_44
0,0,0,0,0,0,0,0,0,0,0,6,,,,6
0,0,0,0,0,1,1,0,0,0,0,0,,,,2
1_1,4_4,14_14,4_4,1_1,4_4,3_3,8_8,1_1,4_4,2_2,1_9,,,,47_55
