,0.01%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
Goldman.pdf,100,99.87,99.52,99.03,98.42,97.75,97.05,96.27,95.53,94.78,94.02
poem.txt,99.99,99.82,99.46,98.91,98.46,97.64,96.76,95.87,95.35,94.94,93.87
program.py,100,99.89,99.6,99.13,98.47,97.85,97.08,96.28,95.7,95.77,94.3
rain.wav,100,99.88,99.59,99.16,98.63,98.05,97.43,96.77,96.12,95.46,94.78
speak.mp4,100,99.88,99.54,99.06,98.48,97.81,97.13,96.4,95.62,94.9,94.18
sunflower.bmp,100,99.88,99.55,99.07,98.5,97.85,97.15,96.44,95.71,94.99,94.26
